"","name","fcs.well","FSC-A","FSC-W","FSC-H","SSC-A","SSC-W","SSC-H","hA PE 582/15 561nm-A","CD21 PE-cy7 780/60 561nm-A","CD38 BV421 450/50 405nm-A","CD20 BV605 610/20 405nm-A","CD27 BV711 710/50 405nm-A","hA APC 670/30 640nm-A","DUMP APC-ef780 780/60 640nm-A","SA BUV395 379/28 355nm-A","CD19 BUV496_515-30 450/50 355nm-A","IgD BUV737 740/35 355nm-A","CD71 FITC 530/30 488nm-A","Time","XLoc","YLoc","day","sampleID","age.group","fcs.XLoc","fcs.YLoc","lib.name","lib.well"
"981","665X_d42_INX_665X_d42_001_020.fcs","D4",75919.359375,75504.6015625,65896,23746.9609375,74925.65625,20771,3.96287945839373,2.64189543078903,1.20162918851902,2.88076117730999,2.42514156177987,3.24967248182635,1.39250792555935,1.18396936960727,2.75646375370076,0.22165099041686,1.83598100060527,4560.7998046875,3,3,"42","665X","young",3,3,"lib190916","D12"
"982","665X_d42_INX_665X_d42_001_020.fcs","E1",76391.0390625,75967.9296875,65901,23804.759765625,76429.0078125,20412,3.33817811043711,1.3597517627968,1.24005347967716,2.81403068074744,1.38917043300802,2.6802497342976,1.5670842207037,1.5098265606086,2.66052664592614,0.666084265642081,1.67230518357443,5718,4,0,"42","665X","young",4,0,"lib190916","E9"
"983","665X_d42_INX_665X_d42_001_020.fcs","E2",68578.5546875,77079.71875,58308,23224.041015625,74135.9296875,20530,4.12671626014376,1.77393576888234,0.648316518578577,2.83623981119863,2.16108913320197,3.42282481115033,0.939577295246374,1.33537458143489,2.52034394290356,0.487513795433355,1.55269563074246,6006.2998046875,4,1,"42","665X","young",4,1,"lib190916","E10"
"984","665X_d42_INX_665X_d42_001_020.fcs","E3",88429.4375,80976.296875,71568,35958.3984375,81362.0234375,28964,3.79008715870107,1.61450911920831,1.04629343945636,3.18572791330059,0.0879191787456789,3.08193246329591,1.23097885975443,1.49950122320282,2.87867336632882,0.873354015642733,1.90523503938071,6251.10009765625,4,2,"42","665X","young",4,2,"lib190916","E11"
"985","665X_d42_INX_665X_d42_001_020.fcs","E4",75016.3203125,77620.8125,63337,24388.880859375,74574.2421875,21433,3.85932920878087,1.06401392008565,1.00053448941874,3.0616818471305,2.41957298076885,3.13496087665919,1.1647892474485,0.964460877671091,2.84220018479956,0.30674939110351,1.66988399864587,6481.89990234375,4,3,"42","665X","young",4,3,"lib190916","E12"
"986","665X_d42_INX_665X_d42_001_020.fcs","F1",83163.515625,79296.4609375,68732,29894.83984375,79422.265625,24668,3.31752579199993,0.661167869008084,0.841214574963954,2.91141349306414,1.122968846337,2.57488879342595,1.34787317949479,0.968733153076753,2.78595034752079,0.268836804217851,1.88893954375485,7528.10009765625,5,0,"42","665X","young",5,0,"lib190916","F9"
"987","665X_d42_INX_665X_d42_001_020.fcs","F2",82659.8359375,78482.7734375,69024,26069.83984375,75017.046875,22775,3.29941332052505,2.73260334933448,1.47377769515133,2.94404875227063,2.6264187195574,2.56905689551883,1.03918845555205,1.30756805703486,2.56926478271881,0.0331170337160529,1.4838474628484,7239.5,5,1,"42","665X","young",5,1,"lib190916","F10"
"988","665X_d42_INX_665X_d42_001_020.fcs","F3",76259.8359375,77403.1328125,64568,30780.880859375,74303.125,27149,3.92250866336749,2.4056570718478,1.0928151675286,3.04016939443633,2.5063025300503,3.23481032870509,0.799851250323631,1.17886267899828,2.56308339992272,0.182901342743918,1.86789674859214,6907.2001953125,5,2,"42","665X","young",5,2,"lib190916","F11"
"989","665X_d42_INX_665X_d42_001_020.fcs","F4",85485.4375,80020.1875,70012,27232.640625,80957.96875,22045,3.54613192223237,1.41156683553892,1.10901236273764,2.7166197567135,-0.0692857530951585,2.80417077446397,1.17125815261191,0.429655987396427,2.67183227710515,0.766704050382844,1.58967831422444,6695.7001953125,5,3,"42","665X","young",5,3,"lib190916","F12"
"990","665X_d42_INX_665X_d42_001_020.fcs","G1",79710.078125,79006.046875,66120,30119.240234375,80115.8671875,24638,3.40751649425393,1.9518285740989,1.37299959054538,3.17909495626187,2.49031129411802,2.69213961258476,1.37185352453047,1.45927756182647,2.62596111620823,0.410394249658091,1.78252189803566,7731.7001953125,6,0,"42","665X","young",6,0,"lib190916","G9"
